Nombre,Tipo,Latitud,Longitud,Elevacion,Municipio,Departamento,X,Y,Z,Entidad,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05
TRES ESQUINAS [35060230],Pluviométrica,4.781416667,-73.48905556,1943,Ubalá,Cundinamarca,1806899.0405133653,-6095712.896353837,531809.0092416345,IDEAM,37,"12,9","77,1","114,1","290,8","187,4","315,4","105,7",233,114,"128,6",25,"82,3","72,5","214,5","206,5",391,"320,9","256,6","260,6","248,4","200,4","90,1",0,"38,9","76,5","116,8","195,5","414,9","211,7",322,"250,8","129,5","210,3","120,5",22,"132,9","28,4","190,3","174,9","170,6","229,6","424,9",339,"157,7","52,2","115,3","99,9",2,107,0,0,0,"318,1",0,0,0,0,0,0,0,0,0,0,0
GAMA [35060240],Pluviométrica,4.764277778,-73.60991667,2210,Gama,Cundinamarca,1794156.4737813643,-6099918.455764041,529929.3304009478,IDEAM,"53,4","40,1","116,5","145,9","213,7","207,8","261,1","83,3","154,4",102,"123,1","26,1","45,8","95,5","180,6","220,2",239,"199,3",197,"246,7",158,"151,1","98,2","6,8","6,7",108,"106,3","112,5","250,2","152,5","254,6","167,6","110,1","135,4","129,6","14,1","76,3","26,1","233,3",253,"85,8","175,5","245,5",189,"91,2",61,"119,2","83,2","4,7","69,4","79,1","179,9",0,"203,5","135,7",0,0,0,0,0,0,0,0,0,0
SANTA ROSA DE UBALA [35060250],Pluviométrica,4.796777778,-73.40719444,1649,Ubalá,Cundinamarca,1815481.974976008,-6092707.444336394,533488.963847083,IDEAM,"35,9","24,3","81,7","292,7","513,7","402,3","589,4","271,9","425,5","283,6","149,7","87,1",98,"102,6","318,1","382,1","566,5","632,3",497,"508,4","386,6","439,3","294,7","20,6","22,3","121,6","184,5","385,4","539,3","325,7","676,1","496,2","217,3",209,"162,2","36,6","299,9","102,4","185,3","314,5","297,5",0,0,"527,5","257,4","104,8","135,4","202,1","17,4","186,5",0,0,0,"563,4","678,5",0,0,0,0,0,0,0,0,0,0
MUNDO NUEVO [35067130],Limnimétrica,4.852833333,-73.39297222,1757,Ubalá,Cundinamarca,1816874.9916700844,-6091856.648254186,539717.6692437258,IDEAM,"38,5","22,5",47,221,"465,1",341,"531,6",244,265,"247,5",199,"64,5","109,5","85,5","223,5",383,521,"618,5",482,442,264,"314,5",220,15,30,119,"187,5","305,5","557,5",312,575,"435,5",199,"169,5",97,103,299,62,"239,5","270,5","240,5",518,"642,5",429,"279,5",95,"162,5",108,"28,5",114,134,228,702,447,"469,5","237,5",195,"258,1",135,213,"150,5","146,5",201,"317,8","527,5"
GRANJA AGROP MACHETA [35070230],Pluviográfica,5.075111111,-73.57941667,1815,Machetá,Cundinamarca,1796452.9974278198,-6095737.73536611,564380.6067402499,IDEAM,20,"32,2","72,8","108,8","226,1","199,2","165,5","90,1","93,5","59,9","208,9","9,2","28,9","47,6","177,4","165,2","232,3","254,6","180,7","191,6","115,9","140,8","132,9","18,9","5,3","54,3","100,5","146,6","156,1","124,8",194,"122,5","77,2","89,3","153,2",1,"63,5","6,7","127,6","175,6",110,"185,3",181,"130,2","75,8",33,"112,4","30,5",0,"41,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPERANZA LA [35070480],Pluviográfica,5.0100278,-73.539444444,1854,Manta,Cundinamarca,1800896.735839804,-6095131.103822645,557164.9621584688,IDEAM,"21,3","35,4",59,"107,3","125,5","168,5","165,2","64,2","80,5","65,8","134,9","1,7","16,9","54,7","116,8","181,9","227,3","183,8","146,6","158,3","87,3","133,1","81,6","18,3","3,1","55,4","85,5","142,7","183,4","134,7","170,8","130,2","84,3","167,9",96,"2,6","46,8",5,"120,3","174,5","117,2","137,6",183,"135,5",60,"50,1","77,8","32,8",2,"29,6","23,8",70,"196,3",237,"158,5","78,5","71,8",72,0,0,"19,7","38,1","153,6","135,4",0
HACIENDA HATO GRANDE [35070490],Pluviométrica,4.959388889,-73.58436111,2346,Manta,Cundinamarca,1796394.924676438,-6097481.1870668605,551590.0877934545,IDEAM,"39,9","85,4","139,5","102,8","201,4","187,8","484,8","149,5","242,3","138,4","302,4","155,7","90,4","161,5","229,3","294,5","573,2","503,4","598,3","368,2","318,4","394,6","184,3","36,3","19,7","197,1","303,6","434,6","457,2","368,8","314,9","350,2","315,9","384,9","211,2","78,5","250,6","80,4","291,1","522,9","329,5","325,7","490,8","279,9","30,8",90,"184,8","61,1","10,4","187,8",0,0,0,602,"586,4","157,2","105,1","150,5","424,3","57,6",0,0,0,0,0
Colegio Francisco Primero S.S,PM,4.652389,-74.075434,2556,"Bogotá, D.C",Cundinamarca,1744912.3511472533,-6115609.254571369,517539.73033648904,IDIGER,"47,7","123,5","167,2","55,8",72,"72,3","89,8","35,9","80,7","41,9","309,3","106,9","11,9","76,8","134,1","113,2","128,8",251,"49,8","152,8","71,8","223,2","210,1","60,6","25,1","163,7","127,2","228,7","114,9","143,7","76,7","55,2","105,7","254,6","200,2","111,7","142,8",71,"196,5","91,2","105,8","26,1","44,3","46,2","120,1","111,5","78,6","94,4","10,5","124,6","67,9","102,9","98,6","106,4","36,9","9,1","59,9","194,4","266,5","33,8","42,3","168,3","223,9","173,3","178,3"
R�o Salitre � Carrera 56b,HMT,4.671118,-74.076453,2576,"Bogotá, D.C",Cundinamarca,1744762.5471313905,-6115496.445339764,519620.19647049793,IDIGER,0,0,0,0,0,0,0,0,0,0,84221471,357075360,357075360,322519680,357075360,345556800,356827391,345556800,357075360,357075360,345548801,357075360,345556800,357075360,357067361,322519680,357075360,345556800,357051363,345532803,357051363,357075360,345556800,357075360,345556800,357067361,357059362,322511681,77022492,"84,4","92,7",23,"42,9","52,1","83,7","125,6","68,9","60,2","10,5","114,6","45,1","146,1","85,9","107,2","45,4","9,6","69,7","151,4",252,"54,4","42,4","109,9",217,"161,8","144,8"
Colegio Carlos Pizarro (IED),CO,4.63537,-74.20541,2544,"Bogotá, D.C",Cundinamarca,1731073.0691087428,-6119688.010340077,515649.67774148,IDIGER,"9,7","36,7",39,"32,9","50,4","89,3","101,8",55,66,"19,5","143,7","20,5",15,"38,2","111,2",81,"195,1","115,7","31,8",120,"57,4","127,6","121,8","5,8","2,3","71,7","28,6","122,7","78,9","155,5","52,8","46,6","68,5","102,5","70,7","9,1","63,2","18,1","77,4","34,5",73,"8,7","42,9","29,2",43,"83,8","27,5","25,3","7,5","29,5",15,"93,5","67,2","117,1","38,2","18,7","61,3","95,5","128,1","18,5","18,9","37,3","81,8","79,3","77,3"
